videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@HowMoneyWorks,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ➡ https://cape.1stcollab.com/howmoneyworks,2025-08-27T14:10:50Z,217
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@noa_9863,4 years to a degree is becoming a pretty long time in a world where such a degree can instantly turn worthless at any given moment,2025-08-27T20:47:29Z,7612
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@mastercosmo9368,"Oh boy, this looks like a great video to watch before I fill out another hundred applications only to get ghosted 50 times and get 50 rejection emails",2025-08-27T14:12:49Z,14942
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@brax8744,"“Your generation is lazy! When I was your age…” Bro you used to be able to walk into places, get a part time job and pay your rent/mortgage, buy groceries and your cigarettes for the week. I have to choose between eating and having a car",2025-09-02T19:58:58Z,2532
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@fablefox8130,I finally got a job offer after 800 job applications. 🎉🎉🎉,2025-09-01T04:29:25Z,347
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@ZjayJD,Posting a ghost job should be illegal. The time we don’t get back,2025-08-27T20:32:28Z,1457
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@avocadonana180,"The Egyptian saying goes: We accepted the suffering, but even the suffering rejected us 🫠",2025-08-27T15:24:57Z,1150
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@mtgmac1,"Ah yes, my weekly dose of ""why everything enshittifies harder than you think"".",2025-08-27T14:19:00Z,8652
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@Wassaboum,"I have a PhD and almost 4 years of postdoc in academic cancer research under my belt. No recognition, No decent salary, No work-life balance, terrible job market, crushing competition.",2025-08-29T16:29:06Z,934
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@Native722,"A lot of these employers asked me, ""What have I been doing since my unemployment?""  It's like wtf?!  Are you living under a rock, the job market is horrible.",2025-08-27T15:42:26Z,3407
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@5pctLowBattery,"seeing my 15 year old try and fail to obtain a summer job was eye opening for the both of us. “Remind me why I’m going to school to learn, if I can’t even get a low paying first job?”",2025-08-27T19:40:55Z,2566
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@semajsga,"I'm not even one week into the semester, come on man 🤣",2025-08-27T14:15:00Z,2881
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@_somerandomguyontheinternet_,You went into Computer Science because you wanted to be rich. I went into Computer Science because I thought it was cool. We are not the same (but we’re both screwed).,2025-09-22T13:48:29Z,264
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@xero7307,"Ahh yesss, unemployment looking mighty fine.  If only I didnt have to pay rent and eat food...",2025-08-27T14:13:49Z,2822
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@kingknight3579,"The problem is, even if the AI (we don't need no graduates) bubble pops, and the big companies start to hire graduates again, they WILL try to sell it as ""Oh, you should be so thankful that we consider hiring you"", that they will try to use this new narrative to negotiate far lower entry wages than before the bubble...",2025-08-27T15:28:35Z,3983
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@TheColdturtle,The job market getting worse every 6 months seems like a recession indicator,2025-08-27T14:28:12Z,5205
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@somerandomdragon4655,"funny prank: have teachers, student aids, job fairs, tutors, career advisors and parents convince you starting at 6th grade that in order to have a good job, you need to go to college, then right as we are about to graduate replace us with AI and gaslight us into thinking that ""you took the loans, should pay them off yourself. shouldn't have gotten a useless degree!"" (stem majors cant find jobs regardless)",2025-08-30T02:23:43Z,753
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@JeeliBeelii,It honestly really stings that my generation worked so hard and studied the practical majors just to watch the job market vanish shortly after graduating. To top it all off we get to be victim blamed by the oldies,2025-08-27T16:37:37Z,2255
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@SRHMusic012,Education is not a trap. Debt is.,2025-08-28T18:59:04Z,4203
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@Caliban_80,Watching this while filling out applications that no human eye besides my own is ever likely to see.,2025-08-27T15:50:31Z,1443
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@acousmata,10:11 I work in a hospital. Nobody is laughing at male nurses. They're very welcome and eagerly sought out.,2025-08-29T15:58:41Z,218
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@BOSSDONMAN,"People also don't understand that this market is worse than 2008, because there are significantly more college graduates competing for the same positions. Also, rent to income ratios are significantly worse now than they were in 2008.",2025-08-27T17:23:25Z,2948
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@Looloolexileft58,"My mom was a senior director at a large global media company. She got laid off last year, along with hundreds of other people. She can’t get another job to save her life. She’s so qualified, has a large network, years of experience…she gets to the final rounds of interviews and then gets ghosted or rejected. She’s been treated so poorly and unprofessionally, being strung along for a full year. She’s despondent, so depressed. We’re running out of money. And the company who laid her off is doing even worse than it was before the lay offs….this has ruined her life. I wish I could give her a job myself",2025-08-27T21:13:14Z,681
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@caseyzx,finding out i went into tons of debt for nothing is always a great feeling,2025-08-27T14:39:02Z,791
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@Juststudiothings,"This is exactly what I noticed as someone who's been in the arts for my entire life. I thoughts very seriously about switching careers but I just don't care about any other field as much as art&design, and it's proven to be more steady and interesting than many other fields. I might make less money, but these days my skills are actually more marketable (content creation, product design or just making and selling my own work) and flexible.",2025-09-01T17:11:47Z,88
uqf6NoAhFts,The Job Market Has Changed... Again.,Check out Cape and use code HOWMONEYWORKS33 to get 33% off your first six months ...,2025-08-27T14:10:40Z,@temprd,"We should really stop calling “unskilled laborers” unskilled. They just use different skills. All jobs require you learn skills, and get really good at your craft.",2025-08-27T19:07:48Z,781
