videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@marktilbury,If you want to start investing then use promo code TILBURY to get a free share worth up to £100 on the Trading212 App or visit https://www.trading212.com/join/TILBURY (terms & conditions apply),2025-03-03T12:17:01Z,1188
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@Jqcksxn,6. Gambling 99% of gamblers quit before they win big,2025-03-02T14:47:03Z,16056
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@BritishSalmon,"Do NOT do Air Traffic Control for the pay, it’s one of the most difficult and intense jobs ever. They get Therapy all the time. It’s very streasful",2025-02-28T18:56:32Z,9814
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@SeanConnery-v6z,Becoming a surgeon will put you a million dollars in debt 😂😂,2025-06-19T23:25:26Z,363
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@Alan-mk7hd,Software engineer in Austria: €65k if you're lucky. Benefits: free coffee in the office.,2025-02-28T20:23:21Z,2158
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@painuchiha2694,"Incredibly difficult, stressful and risky careers  Great advice",2025-02-28T19:07:35Z,2143
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@sumantkumar3979,"Best way to make money , teach other people how to make money on social media",2025-03-29T05:34:34Z,183
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@InvestWithAlex,6: finance youtuber: $1m per year,2025-03-01T21:41:17Z,669
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@nolakillabeast,"I've had the entrepreneur job, I spent all my savings, borrowed from every family member I know....and lost it all. Its also ""unlimited"" in how much you can lose.",2025-03-01T05:12:49Z,185
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@keamogetsemmolotsane6525,Pilot: depends on the airline❤,2025-08-04T15:37:50Z,8
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@CawRawrCaw,No job will make you a millionaire. It’s your saving/spending habits that will dictate your financial success.,2025-03-02T15:01:47Z,91
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@Jack-1994,Premier League footballer £80k-£350k a week,2025-02-28T20:04:21Z,215
DBbblyI9bRE,5 JOBS that Makes you Millionaire,,2025-02-28T18:26:01Z,@z-mane1438,This guy makes everything seem like it’s possible,2025-06-30T17:54:18Z,11
